update,steps,episodes,mean_return,mean_episode_len,success_rate,collision_rate,ground_collision_rate,self_collision_rate,obstacle_collision_rate,target_distance,min_obstacle_distance,policy_loss,value_loss,entropy,approx_kl,clip_fraction
0,2048,5,-2013.686822834608,350.0,0.0,0.0,0.0,0.0,0.0,0.6750051065549113,0.47739347512808683,-0.0058458341518417,6813.198547363281,2.481145878136158,0.0037956535088596866,0.02841796875
1,4096,12,-1420.7771842545578,291.57142857142856,0.0,0.0009765625,0.0,0.0,0.0009765625,0.704284876720577,0.39878620059504954,-0.0028826413268689065,1893.4118816375733,2.471624405682087,0.004202465049456805,0.04140625
2,6144,18,-2023.1617793770658,350.0,0.0,0.0,0.0,0.0,0.0,0.4883950149572921,0.389694070546249,-0.002770922309719026,1275.8504390716553,2.4664231434464456,0.002256958672660403,0.01640625
3,8192,24,-1988.258195430212,350.0,0.0,0.0,0.0,0.0,0.0,0.4087956404817639,0.28673166436183245,-0.0014503390033496545,1357.435416984558,2.4676814660429955,0.0009133631305303424,0.0
4,10240,30,-1752.601298809459,350.0,0.0,0.0,0.0,0.0,0.0,0.5747778243717458,0.2777733785409523,-0.0005488408380188048,1253.5225652694703,2.472793737053871,0.0004927685688016937,0.0
5,12288,36,-1832.77370406489,350.0,0.0,0.0,0.0,0.0,0.0,0.4622176677443072,0.11741273114264308,-0.0031186856678687034,1362.3634021759033,2.469008153676987,0.0014938360516680404,0.004150390625
6,14336,44,-1405.927952436407,257.125,0.0,0.00146484375,0.0,0.0,0.00146484375,0.5782872478154474,0.28901880377973144,-0.002436207979917526,1429.0101539611817,2.456934690475464,0.0015624022780684754,0.006103515625
7,16384,50,-2056.4892388335115,350.0,0.0,0.0,0.0,0.0,0.0,0.5535749062395491,0.23272766535150785,-0.0034382468526018783,1584.6580131530761,2.423058679699898,0.0039786826586350795,0.023583984375
8,18432,56,-1640.2618828040602,333.8333333333333,0.0,0.00048828125,0.0,0.0,0.00048828125,0.5529703143284663,0.4268323481038195,-0.002870861964765936,1080.2386289596557,2.4204124718904496,0.003251473081763834,0.013623046875
9,20480,64,-1288.9540830158985,258.625,0.0,0.001953125,0.0,0.0,0.001953125,0.7235363143705937,0.4030640888692144,-0.006958959682378918,840.1123310089112,2.420998227596283,0.005148089642170816,0.041650390625
10,22528,70,-2119.7055047861472,350.0,0.0,0.0,0.0,0.0,0.0,0.5660989968566102,0.45074727956987104,-0.005666172335622832,1458.2537759780885,2.3991677805781366,0.005040393804665655,0.03447265625
11,24576,75,-2062.6340776036136,350.0,0.0,0.0,0.0,0.0,0.0,0.3516988024329554,0.30091561977712894,-0.0089850353251677,1101.2298364639282,2.349159763753414,0.008739339438034222,0.119677734375
12,26624,82,-1507.364636835606,291.57142857142856,0.0,0.00146484375,0.00048828125,0.0,0.0009765625,0.39652930521422697,0.2960575638388447,-0.008794935297919438,753.5808307647706,2.2968607634305953,0.008087324211373925,0.075341796875
13,28672,90,-1469.014355852109,280.75,0.0,0.001953125,0.00048828125,0.0,0.00146484375,0.5018734539179959,0.3689512366264361,-0.008282019780017436,618.8778537750244,2.2625638425350187,0.008458129022619687,0.104052734375
14,30720,97,-1497.9805872691516,291.42857142857144,0.0,0.00341796875,0.00244140625,0.0,0.0009765625,0.3983348118247082,0.1346049752144377,-0.007875519571825862,242.7518063545227,2.1859115555882456,0.00852624464314431,0.102783203125
15,32768,105,-1409.2501873585184,270.0,0.0,0.00390625,0.0029296875,0.0,0.0009765625,0.48075124862688046,0.36849523434576653,-0.004423463618149981,350.141792678833,2.1376128658652305,0.005918059538817033,0.067919921875
16,34816,115,-1298.1281221286945,194.8,0.0,0.0048828125,0.00341796875,0.0,0.00146484375,0.5501660805722529,0.25624725206637783,-0.009084971947595477,753.2107442855835,2.069130565226078,0.008952990622492506,0.10654296875
17,36864,128,-1017.6254429110023,159.92307692307693,0.0,0.00634765625,0.00390625,0.0,0.00244140625,0.5056666575250658,0.21449398151261684,-0.010742967881378717,692.3554918289185,1.941538893431425,0.010410720822983421,0.12197265625
18,38912,144,-717.8226138901382,125.625,0.0,0.0078125,0.00390625,0.0,0.00390625,0.5814397214511172,0.29740927042072,-0.004890056743170135,862.1684499740601,1.8326099149882793,0.008814718044595793,0.05263671875
19,40960,164,-693.9599641054954,103.25,0.0,0.009765625,0.0048828125,0.0,0.0048828125,0.4457522646935776,0.204047337946853,-0.012987856596009806,925.7896482467652,1.6413582488894463,0.01383015668252483,0.166162109375
20,43008,185,-643.1019447147934,102.04761904761905,0.0,0.01025390625,0.0048828125,0.0,0.00537109375,0.4875967755060246,0.3859599257289606,-0.010405826481292024,633.7979190826416,1.4861325800418854,0.011517280555563048,0.112109375
21,45056,208,-633.9580523884658,89.17391304347827,0.0,0.01123046875,0.00634765625,0.0,0.0048828125,0.5850026714837795,0.2946392615902834,-0.006288370891707018,637.5785167694091,1.3285959385335446,0.0071851526299724355,0.071826171875
22,47104,235,-553.2750157977115,75.81481481481481,0.0,0.01318359375,0.005859375,0.0,0.00732421875,0.49307026804469484,0.3231654923256856,-0.00538779235794209,695.539026260376,1.245286835730076,0.004074177572329063,0.061083984375
23,49152,257,-633.3633459202665,89.4090909090909,0.0,0.0107421875,0.00634765625,0.0,0.00439453125,0.5517329066934549,0.4380631140389431,-0.00561594088212587,394.93654642105105,1.10147700086236,0.006352000404149294,0.0587890625
24,51200,282,-606.1786211345678,81.6,0.0,0.01220703125,0.00732421875,0.0,0.0048828125,0.4745773093813602,0.37824203780324017,-0.0045752467412967235,477.1478049278259,1.0098661366850137,0.0034231488541990986,0.041357421875
25,53248,309,-591.9201252583467,79.14814814814815,0.0,0.01318359375,0.0068359375,0.0,0.00634765625,0.5954844480546044,0.29075830952807874,-0.003380158793879673,438.49901962280273,1.018914447724819,0.0024453824895317665,0.039990234375
26,55296,335,-577.4827771959724,76.23076923076923,0.0,0.0126953125,0.0068359375,0.0,0.005859375,0.542924303508963,0.3448473424983091,-0.0037941343674901874,281.29897994995116,0.8914876829832792,0.0033624332238105124,0.037451171875
27,57344,364,-541.159969014478,70.6896551724138,0.0,0.01416015625,0.0078125,0.0,0.00634765625,0.5040317699753168,0.4239972758036118,-0.005647935380693525,282.1337700843811,0.7931562036275863,0.0034178414782218168,0.052685546875
28,59392,395,-505.0131451236519,67.93548387096774,0.0,0.01513671875,0.00732421875,0.0,0.0078125,0.36471594589987966,0.2710658684436831,-0.0020718085288535804,189.79222440719604,0.8460992109030485,0.0015005307512183208,0.025830078125
29,61440,423,-528.6138688979918,71.39285714285714,0.0,0.013671875,0.00634765625,0.0,0.00732421875,0.2627309604655088,0.13913830618458659,-0.0033566568221431226,155.32305388450624,0.8346744608134031,0.0024873632544768045,0.049462890625
30,63488,453,-550.7762860184054,70.1,0.0,0.0146484375,0.0078125,0.0,0.0068359375,0.44833118113627407,0.2505157396417101,-0.0015838467690628022,223.5055721282959,0.7848764225840569,0.0015367617957963375,0.01953125
31,65536,484,-512.3734226760337,65.54838709677419,0.0,0.01513671875,0.00732421875,0.0,0.0078125,0.46574124661814775,0.16194820770078464,-0.0019214066269341856,148.53638968467712,0.7119086481630802,0.002114864586474141,0.024365234375
32,67584,517,-496.4385818548778,61.666666666666664,0.0,0.01611328125,0.0068359375,0.0,0.00927734375,0.3677184748249476,0.2590231270941309,-0.0026700269081629813,189.9419086456299,0.7032255660742521,0.002161922901723301,0.032275390625
33,69632,547,-537.6634726134411,68.56666666666666,0.0,0.0146484375,0.00830078125,0.0,0.00634765625,0.35070075850417387,0.2418420417901506,-0.002891629235818982,138.47478275299073,0.7264695573598147,0.0019440809501247713,0.034130859375
34,71680,578,-498.69456700608146,65.87096774193549,0.0,0.01513671875,0.0068359375,0.0,0.00830078125,0.5218641208757767,0.2337239545068018,-0.004630550462752581,164.3154001235962,0.6800218250602483,0.0025856366293737663,0.0513671875
35,73728,611,-512.2061354818396,62.60606060606061,0.0,0.01611328125,0.00732421875,0.0,0.0087890625,0.3324301710465898,0.13056079029826836,-0.0033547407656442374,112.42703588008881,0.631570665538311,0.001998199984882376,0.037646484375
36,75776,640,-524.517205839619,69.10344827586206,0.0,0.01416015625,0.0078125,0.0,0.00634765625,0.42769381585704075,0.34006088024779535,-0.0033535355993080883,113.56303672790527,0.5317266698926687,0.002276441030699061,0.033837890625
37,77824,666,-603.7233799957553,79.0,0.0,0.0126953125,0.00927734375,0.0,0.00341796875,0.5597721066159549,0.29768843542998785,-0.0039195511082652955,89.84728403091431,0.48902848958969114,0.0017573993223777506,0.028955078125
38,79872,697,-516.4739723189451,67.2258064516129,0.0,0.01513671875,0.00830078125,0.0,0.0068359375,0.3466106517455423,0.100234878212704,-0.0024404166673775763,117.58975100517273,0.4675545198842883,0.0014519669679430081,0.0228515625
39,81920,728,-526.2618227357772,66.06451612903226,0.0,0.01513671875,0.0078125,0.0,0.00732421875,0.5012739322146542,0.19967354958745867,-0.003265297651523724,95.96314678192138,0.44848065692931416,0.0018955174014990916,0.035400390625
40,83968,753,-604.9656389156487,79.4,0.0,0.01220703125,0.00927734375,0.0,0.0029296875,0.6426249980852199,0.4095536626672738,-0.0022032816894352438,69.60757265090942,0.4232009246945381,0.0014674084173748269,0.0201171875
41,86016,783,-543.0123743423379,68.13333333333334,0.0,0.0146484375,0.00927734375,0.0,0.00537109375,0.7343894417105459,0.4649749359870812,-0.0016285598918329923,73.33790948390961,0.4292714219540358,0.000945114357273269,0.019580078125
42,88064,815,-520.3415158636717,65.0,0.0,0.015625,0.00830078125,0.0,0.00732421875,0.46054460704128103,0.37252631727900715,-0.0010962852218654006,114.36041011810303,0.45300939194858075,0.0007996090565939084,0.01337890625
43,90112,845,-556.5000435651999,69.8,0.0,0.0146484375,0.00927734375,0.0,0.00537109375,0.5236307274526834,0.09785478180196658,-0.004375284962588921,82.17195127010345,0.39742346461862327,0.0017091911857278319,0.037841796875
44,92160,878,-484.96637408394963,61.54545454545455,0.0,0.01611328125,0.0078125,0.0,0.00830078125,0.5702656486475672,0.21271683640521816,-0.00118093226919882,95.05383479595184,0.37033513076603414,0.0006468658328230958,0.01171875
45,94208,907,-548.8371757202606,70.79310344827586,0.0,0.01416015625,0.0087890625,0.0,0.00537109375,0.5316406852105444,0.2623043887799804,-0.0008965032058767975,84.88636627197266,0.3691368861123919,0.0009268473304473446,0.014892578125
46,96256,936,-526.1399705389808,68.13793103448276,0.0,0.01416015625,0.00830078125,0.0,0.005859375,0.6240311686775525,0.5326171398907237,-0.002192674981779419,74.15540602207184,0.3937637133523822,0.000715625276825449,0.01533203125
47,98304,969,-506.8360119409124,64.42424242424242,0.0,0.01611328125,0.0087890625,0.0,0.00732421875,0.49144785164889343,0.13283180693232027,-0.0016622900846414268,105.19039859771729,0.4069483790546656,0.0006673836294794455,0.010498046875
48,100352,997,-560.6112468364179,73.25,0.0,0.013671875,0.00830078125,0.0,0.00537109375,0.3890531135634609,0.09764568701463373,-0.00131350863375701,78.20471820831298,0.45739314518868923,0.0009433182869543089,0.015380859375
